It was well worth the wait.	5
We, there were four of us, arrived at noon - the place was empty - and the T acted like we were imposing on them and they were very rude.	2
A coworker and I tried T after work a few Fridays and loved it.	5
For each course we waited over 1/2 hour to 45 minutes and were never offered a drink.	2
The T however, is almost always slow.	2
For dinner I had the T and some garlic naan.	1
last Tuesday for a T with a friend.	5
great T, lt's of it, more then one person can eat!	1
I was very disappointed with this restaurant.	5
We visit at least once a month.	5
I was starving and the small T were driving me crazy!	1
From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that I can't remember because of the fabulous T we were drinking -- the whole evening was amazing.	1
Fresh, authentic, french cuisine in substantial T.	1
Our friends have not arrived yet.	5
The menu looked good, except for offering the Chilean Sea Bass, but the T does not offer up the specials that were written on the board outside.	2
The New York Times has reviewed this place three times already, you know it's going to be good.	5
The T here are a bit larger than I'm used to.	1
I go twice a month!	5
We usually just get some of the dinner specials and they are very reasonably T and very tasty.	3
Has the T and owner changed???	2
Consistently good T.	1
This place has the best T in New York, hands down.	1
Mary's small, crowded and you usually have to wait on line - but I'm glad I finally tried it.	4
Another great thing about Glechik-everything is very cheap!	3
I grew up eating T and have yet to find a place in NY to satisfy my taste buds.	5
Over the years the host, Vittorio, and his T, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.	2
Service is great, T is good too.	1
The real problem I had with this place was the complete lack of T.	2
No green beans, no egg, no anchovy dressing, no T, no red onion.	1
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, T, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.	1
The T is sinful.	1
What generous T!	1
The T are light and scrumptious.	1
We all felt it was worth it.	3
Over the years, it has always provided a pleasurable dining experience with quality T and wine.	1
The T is spectacular, from the appitizers to the main course, and then of course the desserts, (WOW) you'll need no more.	1
I complained to the waiter and then to the T, but the intensity of rudeness from them just went up.	2
Well worth the trip, close to City Hall and downtown subway stops.	5
Definitely not worth the T!	3
I particularly love their T and their mussel selection.	1
I would highly recommand requesting a table by the window.	4
Had a great experience at Trio ... T was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.	2
I loved it and would HIGHLY RECOMMEND.	5
try the spicy T (again, not the greatest value in the world but worth the price) and the lamb vindaloo is great.	1
– I am exceedingly pleased to report that my dinner at T last Friday completely exceeded my expectations.	5
I've read some of the previews reviews - people are either not New Yorkers or have more appreciation for ambience then T.	5
While this is a pretty place in that overly cute French way, the T was insultingly horrible.	1
but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the T section.	1
I would definitely go back for a very special occasion, but not for regular fine T.	5
Even though its good T, the prices are too high.	1
Great T made the old-fashioned way.	1
Highly recommend this as great value for excellent sushi and T.	2
The T was superb, our tapas delightful, and the quiet atmosphere perfect for good conversation.	1
Although be warned their T and take out prices are different.	3
Good for T with jeans and sneakers.	5
The T was attentive and her suggestions of menu items was right on the mark.	2
it's delicious!	1
I ordered the Chicken Teriyaki and my husband got T.	1
They are served with a free appetizer and the T are perfect for lunch.	1
The mussles were the fishiest things I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the T had bones in it... It was disgusting.	1
The first 2 courses were very good, but the T was too rich for me and the dessert wine far too sweet.	1
The dim sum is ok but doesn't taste that fresh, and the T don't look steamy hot as they should (also note lack of Chinese here).	1
Good French restaurant in an area devoid of decent restaurants unless you're into eating 4 pound T at Katz' Deli, or Mexican food which is supplied by capable restaurants.	5
