But the T was so horrible to us.	2
To be completely fair, the only redeeming factor was the T, which was above average, but couldn't make up for all the other deficiencies of Teodora.	1
The T is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.	1
The food is uniformly exceptional, with a very capable T which will proudly whip up whatever you feel like eating, whether it's on the menu or not.	1
The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the T or not.	1
Where Gabriela personaly greets you and recommends you what to eat.	2
For those that go once and don't enjoy it, all I can say is that they just don't get it.	5
Not only was the T outstanding, but the little 'perks' were great.	1
Not only was the food outstanding, but the little 'T' were great.	1
It is not very tasty.	1
It is very overpriced.	3
Our agreed favorite is the T (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	1
Our agreed favorite is the orrechiete with sausage and chicken (usually the T are kind enough to split the dish in half so you get to sample both meats).	1
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both T).	1
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the T in half so you get to sample both meats).	1
The T have an outstanding taste with a terrific texture, both chewy yet not gummy.	1
Nevertheless the T itself is pretty good.	1
They did not have mayonnaise, forgot our T, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	1
They did not have T, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	1
They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the T was so over cooked it crumbled on the plate when you touched it.	1
They did not have mayonnaise, forgot our toast, left out ingredients (ie T in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	1
They did not have mayonnaise, forgot our toast, left out T (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	1
They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the T when you touched it.	1
They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an T), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	1
It took half an hour to get our check, which was perfect since we could sit, have T and talk!	2
It took half an hour to get our T, which was perfect since we could sit, have drinks and talk!	2
The T and atmosphere is just as good.	4
The design and T is just as good.	4
He has visited Thailand and is quite expert on the T.	1
I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.	5
The T is the best if you like thin crusted pizza.	1
The pizza is the best if you like T.	1
My Girlfriend and I stumbled onto this hopping place the other night and had a great time!	5
He can't help, they're bought up so fast.	5
Secondly, on this night the place was overwhelmed by upper east side ladies perfume.	4
i have eaten here a handful of times, for no reason besides sheer convenience.	5
Obviously run by folks who know a pie.	2
We were very disappointed.	5
IT IS DEFINITELY AFFORDABLE.	5
IT IS DEFINITELY SPECIAL.	3
I really liked this place.	5
I will be going back very soon.	5
All the money went into the T, none of it went to the chefs.	4
All the money went into the interior decoration, none of it went to the T.	1
The T are uncomfortable if you are sitting against the wall on wooden benches.	4
I asked for T, no ice.	1
It was pretty inexpensive too.	3
Will not be back.	5
Don't go alone---even two people isn't enough for the whole experience, with T and a selection of meats and seafoods.	1
Don't go alone---even two people isn't enough for the whole experience, with pickles and a T.	1
My suggestion is to eat family style because you'll want to try the other T.	1
My suggestion is to T because you'll want to try the other dishes.	1
